year,leaid,enroll_male_kinder,enroll_female_kinder,enroll_male_total,enroll_female_total,enroll_all_kinder,enroll_all_total
2018,0100005,2910,245,2726,219,5636,464
2018,0100006,2941,210,2711,192,5652,402
2018,0100007,7224,465,6728,468,13952,933
2018,0100008,5872,361,5418,371,11290,732
2018,0100011,993,73,957,62,1950,135
2018,0100012,1240,97,1187,81,2427,178
2018,0100013,2367,152,2326,144,4693,296
2018,0100030,1576,122,1489,109,3065,231
2018,0100060,936,84,858,69,1794,153
2018,0100090,990,94,957,90,1947,184
2018,0100100,1342,97,1290,90,2632,187
2018,0100120,2073,145,2211,170,4284,315
2018,0100180,798,58,728,36,1526,94
2018,0100185,1609,105,1505,123,3114,228
2018,0100188,639,43,515,45,1154,88
2018,0100189,738,34,795,54,1533,88
2018,0100190,3123,190,3061,215,6184,405
2018,0100194,1694,102,1612,112,3306,214
2018,0100195,975,88,888,62,1863,150
2018,0100197,127,NA,173,NA,300,NA
2018,0100199,139,13,159,21,298,34
2018,0100210,4462,342,4276,340,8738,682
2018,0100240,4670,316,4424,289,9094,605
2018,0100270,16601,1139,15666,1093,32267,2232
2018,0100300,388,31,367,25,755,56
2018,0100330,1848,149,1770,132,3618,281
2018,0100360,1685,139,1551,116,3236,255
2018,0100390,11832,994,11209,944,23041,1938
2018,0100420,3923,295,3728,253,7651,548
2018,0100450,569,46,564,34,1133,80
2018,0100480,754,52,684,44,1438,96
2018,0100510,1616,115,1399,110,3015,225
2018,0100540,4435,341,4113,319,8548,660
2018,0100600,1846,141,1699,127,3545,268
2018,0100630,2076,166,1858,130,3934,296
2018,0100660,3995,298,3842,263,7837,561
2018,0100690,708,38,592,45,1300,83
2018,0100720,1279,102,1181,92,2460,194
2018,0100750,998,76,870,52,1868,128
2018,0100780,1288,91,1224,97,2512,188
2018,0100810,1210,93,1178,84,2388,177
2018,0100840,1331,109,1337,96,2668,205
2018,0100870,952,65,989,73,1941,138
2018,0100900,437,39,420,17,857,56
2018,0100930,1615,134,1467,116,3082,250
2018,0100960,1176,82,1072,71,2248,153
2018,0100990,1621,119,1580,120,3201,239
2018,0101020,4938,366,4530,335,9468,701
2018,0101050,1701,121,1488,106,3189,227
2018,0101080,577,45,510,31,1087,76
2018,0101110,1583,110,1444,93,3027,203
2018,0101140,4557,343,4278,308,8835,651
2018,0101170,4485,338,4214,307,8699,645
2018,0101200,1117,84,1099,76,2216,160
2018,0101230,4595,397,4372,346,8967,743
2018,0101260,309,22,313,33,622,55
2018,0101290,6006,448,5427,377,11433,825
2018,0101320,3387,280,3336,215,6723,495
2018,0101350,2129,175,2105,167,4234,342
2018,0101380,4435,352,4051,313,8486,665
2018,0101410,2678,169,2749,158,5427,327
2018,0101440,767,50,782,55,1549,105
2018,0101470,1200,105,1102,90,2302,195
2018,0101530,2165,157,2089,146,4254,303
2018,0101560,1632,101,1617,120,3249,221
2018,0101590,1891,160,1783,135,3674,295
2018,0101620,2627,224,2567,205,5194,429
2018,0101640,634,42,615,49,1249,91
2018,0101660,1426,106,1324,109,2750,215
2018,0101680,542,48,512,37,1054,85
2018,0101690,971,74,900,56,1871,130
2018,0101710,1280,89,1208,101,2488,190
2018,0101720,849,70,770,53,1619,123
2018,0101730,1779,140,1690,136,3469,276
2018,0101740,1293,90,1173,80,2466,170
2018,0101760,2147,176,2145,178,4292,354
2018,0101770,3375,234,3043,212,6418,446
2018,0101800,12245,937,11748,884,23993,1821
2018,0101830,2781,231,2556,194,5337,425
2018,0101860,818,66,804,59,1622,125
2018,0101890,1373,98,1381,101,2754,199
2018,0101920,18641,1298,17605,1224,36246,2522
2018,0101950,1193,96,1097,78,2290,174
2018,0101980,453,42,472,55,925,97
2018,0102010,4278,340,3997,292,8275,632
2018,0102040,2389,208,2273,149,4662,357
2018,0102070,5031,349,4483,308,9514,657
2018,0102100,5347,363,5265,302,10612,665
2018,0102130,254,15,223,18,477,33
2018,0102160,670,45,658,47,1328,92
2018,0102190,943,68,929,52,1872,120
2018,0102220,9901,687,9192,583,19093,1270
2018,0102250,514,31,488,39,1002,70
2018,0102310,1652,131,1637,131,3289,262
2018,0102350,518,36,505,37,1023,73
2018,0102370,27306,1967,26661,1972,53967,3939
2018,0102400,1737,111,1618,122,3355,233
2018,0102430,14470,1128,14420,1162,28890,2290
2018,0102480,3936,286,3638,260,7574,546
2018,0102490,2233,172,2113,151,4346,323
2018,0102520,1423,111,1389,95,2812,206
2018,0102550,782,71,721,63,1503,134
2018,0102580,2307,205,2207,189,4514,394
2018,0102610,658,52,632,44,1290,96
2018,0102635,2137,143,1946,142,4083,285
2018,0102640,1142,69,975,78,2117,147
2018,0102650,2136,174,1914,171,4050,345
2018,0102670,661,38,628,32,1289,70
2018,0102700,3623,302,3523,302,7146,604
2018,0102730,1343,112,1181,88,2524,200
2018,0102760,616,42,535,47,1151,89
2018,0102790,1168,88,1035,69,2203,157
2018,0102820,1096,91,1064,98,2160,189
2018,0102850,776,56,743,51,1519,107
2018,0102880,1826,161,1621,136,3447,297
2018,0102910,1275,106,1181,98,2456,204
2018,0102940,1300,103,1192,83,2492,186
2018,0102970,1531,112,1515,101,3046,213
2018,0103000,545,54,509,39,1054,93
2018,0103030,10556,749,10014,705,20570,1454
2018,0103062,5000,415,4464,324,9464,739
2018,0103090,703,41,645,45,1348,86
2018,0103120,1064,66,1120,65,2184,131
2018,0103150,954,81,1025,88,1979,169
2018,0103180,3766,264,3632,229,7398,493
2018,0103210,1513,120,1355,99,2868,219
2018,0103240,940,78,837,55,1777,133
2018,0103270,626,58,583,43,1209,101
2018,0103300,590,41,568,46,1158,87
2018,0103330,951,78,900,69,1851,147
2018,0103360,5371,413,5167,423,10538,836
2018,0103390,9541,751,9168,681,18709,1432
